epoch,acc,loss,val_acc,val_loss
0,0.9323203426347263,0.05614603940606999,0.9726840910647527,0.022105313118722207
1,0.9643357074926189,0.027836640351837572,0.9781550624781756,0.017353532700614602
2,0.9727631320873561,0.021542335568958664,0.9799657398065643,0.01572909505996326
3,0.9769964881571038,0.018151218554949562,0.9815817200679384,0.01460477338532172
4,0.979854740449449,0.015663480789364536,0.9820295221420943,0.01416376793830706
5,0.9825312818989635,0.013563705551318571,0.982418914359008,0.014166674239292663
6,0.9844662492293188,0.012035995582545539,0.9829445954823177,0.014053335473098694
7,0.9863864829929094,0.010627476008845584,0.9824578547318968,0.013916469009282676
8,0.987560231728458,0.009749732718163229,0.9825357322445735,0.013665572943481035
9,0.9887929137475138,0.008826004587895805,0.9828667165051136,0.01357354280839041
10,0.9894117100190173,0.008247649120812758,0.9831587615810977,0.013280271739499541
11,0.9906935021367962,0.007351982646190668,0.9834118662841929,0.013306664684471012
12,0.991336853833811,0.006907307436122355,0.9836065634231572,0.01323612434575276
13,0.9918279621435201,0.0063813608191203635,0.9835870933307117,0.013088302704662392
14,0.992820000533868,0.005708775699171097,0.9836065640033979,0.01299021516310307
15,0.9928347338035182,0.0055884814749164345,0.9837233809605783,0.013090215727093808
16,0.9933847748947138,0.005195244754128159,0.9836260328193138,0.013043361923123846
17,0.9936597953817669,0.004928193044242766,0.9834313357244479,0.013825301061218492
